,StateName,avg_2020_02
0,Utah,347562.962962963
1,Hawaii,592525.0
2,Minnesota,261769.76744186046
3,Oregon,348658.82352941175
4,Texas,269829.6703296703
5,North Dakota,232660.0
6,Pennsylvania,250119.6261682243
7,Connecticut,297518.8679245283
8,Nevada,327770.0
9,Washington,439433.3333333333
10,Illinois,232948.19277108434
11,District of Columbia,575700.0
12,Delaware,285189.4736842105
13,New Mexico,228962.5
14,Missouri,209020.83333333334
15,Rhode Island,329465.2173913043
16,Georgia,233068.64406779662
17,Montana,368942.85714285716
18,Virginia,350971.27659574465
19,Michigan,203690.13157894736
20,North Carolina,230119.64285714287
21,Wyoming,233500.0
22,Kansas,225418.18181818182
23,New Jersey,371965.9090909091
24,Maryland,334171.6814159292
25,Alabama,200868.42105263157
26,Arizona,308584.90566037735
27,Massachusetts,428246.6165413534
28,Tennessee,221535.44303797468
29,New Hampshire,316154.1666666667
30,Florida,273202.5641025641
31,Idaho,275943.47826086957
32,South Carolina,220573.5849056604
33,South Dakota,220300.0
34,California,628730.8108108108
35,New York,393853.2786885246
36,Wisconsin,222860.52631578947
37,Colorado,407444.44444444444
38,Maine,252443.75
