OrganisationName,OrganisationCode,PublishedDate,DurationFrom,DurationTo,LatestData,GeoName,ReportingPeriodType,Year,Period,Rainfallmm,Temp,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-01-01T00:00:00,2010-01-31T00:00:00,TRUE,England E & NE,Monthly,2010,JAN,69.5,0.8,,,,,,,2019,3.4,6,7,7.8,10.3,13.4,17,16.5,13.4,8.8,5.6,4.9,4.89,8.38,15.67,9.26,9.54
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-02-01T00:00:00,2010-02-28T00:00:00,TRUE,England E & NE,Monthly,2010,FEB,71.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-03-01T00:00:00,2010-03-31T00:00:00,TRUE,England E & NE,Monthly,2010,MAR,65.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-04-01T00:00:00,2010-04-30T00:00:00,TRUE,England E & NE,Monthly,2010,APR,21.4,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-05-01T00:00:00,2010-05-31T00:00:00,TRUE,England E & NE,Monthly,2010,MAY,22.1,9.8,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-06-01T00:00:00,2010-06-30T00:00:00,TRUE,England E & NE,Monthly,2010,JUN,42.7,14.3,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-07-01T00:00:00,2010-07-31T00:00:00,TRUE,England E & NE,Monthly,2010,JUL,61.1,16.4,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-08-01T00:00:00,2010-08-31T00:00:00,TRUE,England E & NE,Monthly,2010,AUG,76.6,14.6,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-09-01T00:00:00,2010-09-30T00:00:00,TRUE,England E & NE,Monthly,2010,SEP,83.9,13.4,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-10-01T00:00:00,2010-10-31T00:00:00,TRUE,England E & NE,Monthly,2010,OCT,65,9.6,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-11-01T00:00:00,2010-11-30T00:00:00,TRUE,England E & NE,Monthly,2010,NOV,118.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-12-01T00:00:00,2010-12-31T00:00:00,TRUE,England E & NE,Monthly,2010,DEC,40.7,-1.2,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2009-12-01T00:00:00,2010-02-28T00:00:00,TRUE,England E & NE,Season,2010,Winter,228.7,1.52,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-03-01T00:00:00,2010-05-31T00:00:00,TRUE,England E & NE,Season,2010,Spring,108.6,7.85,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-06-01T00:00:00,2010-08-31T00:00:00,TRUE,England E & NE,Season,2010,Summer,180.5,15.08,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-09-01T00:00:00,2010-11-30T00:00:00,TRUE,England E & NE,Season,2010,Autumn,267.2,9.17,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-01-01T00:00:00,2010-12-31T00:00:00,TRUE,England E & NE,Calendar Year,2010,Annual,738.3,8.16,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-01-01T00:00:00,2011-01-31T00:00:00,TRUE,England E & NE,Monthly,2011,JAN,54.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-02-01T00:00:00,2011-02-28T00:00:00,TRUE,England E & NE,Monthly,2011,FEB,82,5.4,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-03-01T00:00:00,2011-03-31T00:00:00,TRUE,England E & NE,Monthly,2011,MAR,20.5,6,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-04-01T00:00:00,2011-04-30T00:00:00,TRUE,England E & NE,Monthly,2011,APR,10.3,10.7,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-05-01T00:00:00,2011-05-31T00:00:00,TRUE,England E & NE,Monthly,2011,MAY,48.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-06-01T00:00:00,2011-06-30T00:00:00,TRUE,England E & NE,Monthly,2011,JUN,62.9,13.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-07-01T00:00:00,2011-07-31T00:00:00,TRUE,England E & NE,Monthly,2011,JUL,71.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-08-01T00:00:00,2011-08-31T00:00:00,TRUE,England E & NE,Monthly,2011,AUG,94.1,14.6,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-09-01T00:00:00,2011-09-30T00:00:00,TRUE,England E & NE,Monthly,2011,SEP,43.2,14.3,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-10-01T00:00:00,2011-10-31T00:00:00,TRUE,England E & NE,Monthly,2011,OCT,62.1,11.4,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-11-01T00:00:00,2011-11-30T00:00:00,TRUE,England E & NE,Monthly,2011,NOV,35.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-12-01T00:00:00,2011-12-31T00:00:00,TRUE,England E & NE,Monthly,2011,DEC,76.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2010-12-01T00:00:00,2011-02-28T00:00:00,TRUE,England E & NE,Season,2011,Winter,177.2,2.34,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-03-01T00:00:00,2011-05-31T00:00:00,TRUE,England E & NE,Season,2011,Spring,79.4,9.38,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-06-01T00:00:00,2011-08-31T00:00:00,TRUE,England E & NE,Season,2011,Summer,228.7,14.18,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-09-01T00:00:00,2011-11-30T00:00:00,TRUE,England E & NE,Season,2011,Autumn,140.9,11.41,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-01-01T00:00:00,2011-12-31T00:00:00,TRUE,England E & NE,Calendar Year,2011,Annual,661.7,9.85,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-01-01T00:00:00,2012-01-31T00:00:00,TRUE,England E & NE,Monthly,2012,JAN,47.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-02-01T00:00:00,2012-02-28T00:00:00,TRUE,England E & NE,Monthly,2012,FEB,24.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-03-01T00:00:00,2012-03-31T00:00:00,TRUE,England E & NE,Monthly,2012,MAR,21.9,7.8,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-04-01T00:00:00,2012-04-30T00:00:00,TRUE,England E & NE,Monthly,2012,APR,140.9,6.4,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-05-01T00:00:00,2012-05-31T00:00:00,TRUE,England E & NE,Monthly,2012,MAY,62.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-06-01T00:00:00,2012-06-30T00:00:00,TRUE,England E & NE,Monthly,2012,JUN,141.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-07-01T00:00:00,2012-07-31T00:00:00,TRUE,England E & NE,Monthly,2012,JUL,96.3,14.6,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-08-01T00:00:00,2012-08-31T00:00:00,TRUE,England E & NE,Monthly,2012,AUG,87.6,15.7,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-09-01T00:00:00,2012-09-30T00:00:00,TRUE,England E & NE,Monthly,2012,SEP,95.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-10-01T00:00:00,2012-10-31T00:00:00,TRUE,England E & NE,Monthly,2012,OCT,86.4,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-11-01T00:00:00,2012-11-30T00:00:00,TRUE,England E & NE,Monthly,2012,NOV,111.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-12-01T00:00:00,2012-12-31T00:00:00,TRUE,England E & NE,Monthly,2012,DEC,127.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2011-12-01T00:00:00,2012-02-28T00:00:00,TRUE,England E & NE,Season,2012,Winter,147.6,4.25,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-03-01T00:00:00,2012-05-31T00:00:00,TRUE,England E & NE,Season,2012,Spring,225.1,8.19,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-06-01T00:00:00,2012-08-31T00:00:00,TRUE,England E & NE,Season,2012,Summer,325.4,14.26,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-09-01T00:00:00,2012-11-30T00:00:00,TRUE,England E & NE,Season,2012,Autumn,293.5,8.81,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-02-27T00:00:00,2012-01-01T00:00:00,2012-12-31T00:00:00,TRUE,England E & NE,Calendar Year,2012,Annual,1043,8.81,,,,,,,,,,,,,,,,,,,,,,,,
